index,name,duration,is_loop,is_best,playlist,playlist_other,id,thumbnail_url
1,"Endless Challenge (Mute City)",161603,True,True,"","Le plein d'énergie","98a44d8f-3e53-409e-8e57-daf8fc65415b","https://image-assets.m.nintendo.com/f134f2d0-2b6b-41ad-a217-70e4a3baf30c"
2,"Dream Chaser (Silence)",213625,True,True,"","Course à pied|Le plein d'énergie","5e5963b9-00a8-4e1c-ade1-0b8c4a847156","https://image-assets.m.nintendo.com/76f9e2ca-9b23-4e0e-bd91-06c0b995212d"
3,"Fall Down to the Stream (Sand Ocean / Fire Field)",142487,True,True,"","","924eb2ab-13f7-4ce8-90b7-823ba29ec864","https://image-assets.m.nintendo.com/e2900512-deed-40f4-b421-3757ff3dca98"
4,"Decided by the Eyes (Big Blue)",210495,True,True,"","Le plein d'énergie","2b3cfff3-549c-4877-be2a-dd8d047d570f","https://image-assets.m.nintendo.com/15f4535c-a3dd-4722-8ddf-eac1751df6df"
5,"A Devil's Call in Your Heart (Devil's Forest)",136856,True,True,"","","086b18ac-c37a-4aa8-a407-3a0a1b6ddd6c","https://image-assets.m.nintendo.com/e6e35b2e-4f17-4393-9603-44cffe7f27cc"
6,"Long-Distance Murder (Red Canyon / Space Plant)",149736,True,True,"","","3287f514-3125-4c35-b614-7ffc8b86a4fc","https://image-assets.m.nintendo.com/bbfa6074-7c18-463e-adfa-321f73f7513b"
7,"Crazy Crying Call (Port Town)",189444,True,True,"","Course à pied","4c219c31-ad20-4192-8288-aa59bdff6d4f","https://image-assets.m.nintendo.com/301b984f-d029-4fc2-a2d5-c94289c15468"
8,"Drivin' Through on MAX (Sector α / Sector β / Rainbow Road)",158177,True,True,"","Le plein d'énergie","8085bc04-bdd7-4265-8be4-92dea51841ed","https://image-assets.m.nintendo.com/a6a25fbb-0b7f-4891-9495-0f695da73508"
9,"Climb Up / Last Chance! (White Land / Big Hand)",166629,True,True,"","","ab678eda-779e-4657-9f44-2f61612aa78a","https://image-assets.m.nintendo.com/1165e69e-8fd2-4490-95e0-e7a5713f88e3"
10,"All We Need Is 30 Deaths (Death Race)",109115,True,False,"","","0a784884-cc8e-458c-9a93-87bb15caad51","https://image-assets.m.nintendo.com/51d9f863-5d75-4fe1-ac5a-6add09b84c99"
11,"Title BGM",170977,True,True,"","Le plein d'énergie|Écrans titre","149e1991-dd37-4a91-9dee-c5369dd69455","https://image-assets.m.nintendo.com/73bd0bbd-4e28-4e01-8d64-a87193b660a9"
12,"Machine Select",75514,True,True,"","","4d5c3255-5280-44fd-b43c-b8d497668b9b","https://image-assets.m.nintendo.com/aee28c6b-fc33-48e3-bef6-738e7959f907"
13,"Options",58872,True,False,"","","275c06e6-1fe0-4491-ad71-6cb4a56c8b14","https://image-assets.m.nintendo.com/ab499846-93e6-4382-a864-7b238d1843c2"
14,"Before the Storm",6524,False,False,"","","a91f4cf2-84d9-4e3a-929b-f65f515dd408","https://image-assets.m.nintendo.com/d212bfad-9e90-4c62-a243-d135c2002bf9"
15,"Goal Fanfare",7590,False,False,"","Victoire !","82eb4384-d4d3-4006-a168-d21498ec66af","https://image-assets.m.nintendo.com/db23f6cc-be2c-4b8f-8025-19baf3e30489"
16,"Goal BGM",74313,True,True,"","Course à pied","8a95cbfe-1fa5-4362-b5cd-a8ea56ae6fc9","https://image-assets.m.nintendo.com/c0712c0a-dffc-412b-89f5-5c3042b5559c"
17,"Retire",9503,False,False,"","","3454c0d1-7721-46ec-b64c-1a87c7ae0683","https://image-assets.m.nintendo.com/4a78eb86-f086-49e3-acca-e10a81416e6a"
18,"Game Over",14872,False,False,"","","e7edda99-83ae-4402-bc9b-5871793c26e9","https://image-assets.m.nintendo.com/f86aeb7b-dbed-4b93-a715-566aea424cff"
19,"Grand Prix Ending",82182,True,True,"","Victoire !","eb0b83ce-40fe-4fe1-8bef-1a0c9412644e","https://image-assets.m.nintendo.com/de1cbdd1-c80e-496e-a112-9b40a8a97c4d"
20,"Staff Roll",162964,False,True,"","","0f622c71-9527-439a-8afd-6f28fcbee51a","https://image-assets.m.nintendo.com/1534ee09-6370-4503-9b74-6a823001fd07"
