index,name,year,hardware,related_game,is_link,id,thumbnail_url
1,"Super Mario Bros.",1985,"Nintendo Entertainment System","New Super Mario Bros.|New 超级马力欧兄弟U 豪华版|Super Mario 64|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Galaxy 2|Super Mario World|超级马力欧 奥德赛|超级马力欧兄弟 惊奇",False,"4cf411d1-7917-40b5-9f53-bfa2052d7b64","https://image-assets.m.nintendo.com/ca47dec6-1956-4222-afba-fe0ecca035bf"
2,"Metroid (Famicom Disk System)",1986,"Nintendo Entertainment System","Metroid|Metroid II - Return of Samus|Metroid Prime",False,"a6460660-a9ed-4013-afc7-ae9f5c55921a","https://image-assets.m.nintendo.com/54f60c66-365d-4485-85e3-3d424cfa58dc"
3,"Metroid",1987,"Nintendo Entertainment System","Metroid (Famicom Disk System)|Metroid II - Return of Samus|Metroid Prime",False,"a12f99be-82cd-4318-82f7-d6d6c3fd447b","https://image-assets.m.nintendo.com/92cde466-c87c-474f-beb1-97bed1511708"
4,"Dr. Mario (Game Boy)",1990,"Game Boy","Dr. Mario (NES)",False,"4f9fd050-cb14-44c5-b6b6-49145d416384","https://image-assets.m.nintendo.com/28ca3fae-13cf-474d-8f27-8e47645ed511"
5,"Kirby's Dream Land",1992,"Game Boy","星之卡比 探索发现|星之卡比 新星同盟",False,"6c8da15c-c4d1-4f39-9bad-bbaa9bf44fd8","https://image-assets.m.nintendo.com/ee442c76-9ec4-4368-8117-2c8c3fda4bb4"
6,"Donkey Kong Country",1994,"Super Nintendo Entertainment System","Donkey Kong Country 2: Diddy's Kong-Quest|Donkey Kong Country 3: Dixie Kong's Double Trouble!",False,"ce614c2a-ca3e-449a-aa30-ddd626602f90","https://image-assets.m.nintendo.com/cb9b9d7e-d9e7-4e86-a75f-04a73d1aef84"
7,"Super Mario World 2: Yoshi's Island",1995,"Super Nintendo Entertainment System","Yoshi's Story",False,"78c1596d-e1fe-40d7-8727-db57dc668318","https://image-assets.m.nintendo.com/0e3e33c9-c3fd-49d5-96da-45d32981c036"
8,"Star Fox 64",1997,"Nintendo 64","",False,"68c46294-47d4-469a-aca6-c585598585cc","https://image-assets.m.nintendo.com/6217089e-4dc0-429a-ad75-6236cdd5d09b"
9,"The Legend of Zelda: Ocarina of Time",1998,"Nintendo 64","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link|Zelda II - The Adventure of Link (Famicom Disk System)|塞尔达传说 时光之笛 3D|塞尔达传说 旷野之息|塞尔达传说 王国之泪",False,"e37be727-867e-4b3f-a223-944549ea4131","https://image-assets.m.nintendo.com/85bfc89a-ecfd-4588-a40f-b4a48c2af88c"
10,"Fire Emblem: The Blazing Blade",2003,"Game Boy Advance","Fire Emblem Awakening|Fire Emblem Engage",False,"8f3bdf4d-273f-4efd-8f66-8ea1d2602d83","https://image-assets.m.nintendo.com/539efea4-7986-47f1-aa86-77d89d0cbe5d"
11,"密特罗德 究极 复刻版",2023,"Nintendo Switch","Metroid|Metroid (Famicom Disk System)|Metroid II - Return of Samus",True,"8e9fd75a-e7b0-4bce-a9fb-da5f578120e4","https://image-assets.m.nintendo.com/ea0e545c-af40-4b47-a867-016deee66ebf"
12,"Metroid Prime",2003,"Nintendo GameCube","Metroid|Metroid (Famicom Disk System)|Metroid II - Return of Samus",False,"e8fd2a7c-9d10-4030-b7c7-5fc7b1f6b08d","https://image-assets.m.nintendo.com/e078b63b-25a1-418d-a1ad-467b3813bbf1"
13,"nintendogs",2005,"Nintendo DS","",False,"067e9785-fc55-439e-925f-7d41610b7187","https://image-assets.m.nintendo.com/56d050db-a9dd-4419-944c-b0552338aed1"
14,"Tomodachi Collection",2009,"Nintendo DS","",False,"5c6a1753-c81a-4698-9ccb-0feb086b32b7","https://image-assets.m.nintendo.com/29e9099e-5c9c-418f-8de0-2b512aa58491"
15,"Wii Channels",2006,"Wii","",False,"72553c1e-1400-4550-9c1c-385fee475a6b","https://image-assets.m.nintendo.com/e5407cba-6e55-4ba2-8691-4ed74cc0e65b"
16,"超级马力欧银河",2025,"Nintendo Switch","New Super Mario Bros.|New 超级马力欧兄弟U 豪华版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy 2|Super Mario World|超级马力欧 奥德赛|超级马力欧兄弟 惊奇",True,"a79e1625-cc71-43b8-8f1f-ba4fd984c6ad","https://image-assets.m.nintendo.com/25891090-fdde-4512-87ef-91ef42fefec7"
17,"Super Mario Galaxy",2007,"Wii","New Super Mario Bros.|New 超级马力欧兄弟U 豪华版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy 2|Super Mario World|超级马力欧 奥德赛|超级马力欧兄弟 惊奇",False,"0c667028-4647-49f1-bf7b-06dc4a51cbff","https://image-assets.m.nintendo.com/c48f47dd-fe5f-4d5b-b73b-b988c41dac5f"
18,"The Legend of Zelda: Breath of the Wild",2017,"Wii U","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link|Zelda II - The Adventure of Link (Famicom Disk System)|塞尔达传说 时光之笛 3D|塞尔达传说 王国之泪",True,"c0bd59b6-00a2-41f4-acfb-f2d8d92103a1","https://image-assets.m.nintendo.com/fc09a962-53b9-4cea-b894-efdbde523d1e"
19,"塞尔达传说 旷野之息",2017,"Nintendo Switch","The Legend of Zelda|The Legend of Zelda (Famicom Disk System)|The Legend of Zelda: A Link to the Past|The Legend of Zelda: Ocarina of Time|The Legend of Zelda: Skyward Sword|The Legend of Zelda: The Wind Waker|Zelda II - The Adventure of Link|Zelda II - The Adventure of Link (Famicom Disk System)|塞尔达传说 时光之笛 3D|塞尔达传说 王国之泪",False,"20960665-fb98-4830-b8d5-37674a140e1b","https://image-assets.m.nintendo.com/5bdfd83a-a15d-486c-bd09-6e0e91b5eab5"
20,"Mario Kart 8",2014,"Wii U","Mario Kart 64|Mario Kart 7|Super Mario Kart",True,"626ceffe-a7cd-4f9a-9ce5-91c02bd65c65","https://image-assets.m.nintendo.com/2be85e58-b64a-4418-9671-433e958993d0"
21,"马力欧卡丁车8 豪华版",2017,"Nintendo Switch","Mario Kart 64|Mario Kart 7|Super Mario Kart",False,"32516e30-667c-4c14-ac1f-fbae00910d86","https://image-assets.m.nintendo.com/9c33162c-d545-407b-ac85-3b614f62c6df"
22,"超级马力欧 奥德赛",2017,"Nintendo Switch","New Super Mario Bros.|New 超级马力欧兄弟U 豪华版|Super Mario 64|Super Mario Bros.|Super Mario Bros. 2|Super Mario Bros. 3|Super Mario Galaxy|Super Mario Galaxy 2|Super Mario World|超级马力欧兄弟 惊奇",False,"4ac191a0-883d-47e5-8818-4d6c95f4f7b1","https://image-assets.m.nintendo.com/6a47e017-c6c8-4cd5-8f6c-7affc4e023c3"
23,"星之卡比 新星同盟",2018,"Nintendo Switch","Kirby's Dream Land|星之卡比 探索发现",False,"b9dbd022-9881-4d77-a7af-d0972cd87c51","https://image-assets.m.nintendo.com/56bacfa4-cf87-4dab-94fb-a1e901129f0d"
